17,-5,17,-6,-3,10,1,-7
11,-3,-31,-42,-5,6,16,20
9,-5,0,-15,-1,1,17,22
-40,1,16,9,-5,-11,-28,-35
-2,-22,2,27,10,5,-1,-48
21,21,-4,-9,-4,2,3,6
-13,-4,10,-16,-9,-4,10,24
-62,-3,-1,13,-3,-15,-29,-84
2,-26,6,23,4,-7,5,20
-11,7,-23,-39,-8,0,-12,3
-22,24,-12,2,6,-9,2,-44
1,-31,-16,5,4,0,4,6
11,4,-6,-8,-3,-7,-3,13
-37,-8,24,16,0,2,5,-18
-9,26,-20,-23,-4,2,-13,-10
34,12,9,-20,4,1,8,15
9,15,19,27,-1,-17,8,23
28,-27,-23,-13,-5,11,-18,31
-27,-9,-1,-28,-10,-17,2,18
14,25,16,-6,1,11,24,-2
3,-20,-18,17,2,-4,-15,2
23,24,17,40,4,-7,-20,19
-8,-22,-4,14,2,13,19,17
22,-5,-13,-14,-9,-4,17,38
9,31,1,-61,-9,11,-5,55
-59,-30,-15,23,-5,6,-2,-101
31,-4,-6,-5,-4,-9,-30,21
-25,-13,17,29,8,3,-2,-11
-31,25,11,-3,-9,-11,-10,-3
51,3,4,6,5,6,30,24
-27,-23,-34,10,-1,4,-7,-44
36,10,-16,-18,-5,-5,-10,19
3,-5,4,18,1,13,-6,-49
7,10,12,-10,1,-6,3,19
13,12,17,0,-4,5,15,27
8,10,-17,-3,1,-1,0,45
-2,13,-7,-8,0,-12,-25,-97
-27,-41,7,-4,-2,-8,24,41
32,11,3,0,1,4,-2,-5
-1,-8,-3,13,-1,-1,-11,13
23,-4,2,2,-2,-2,19,36
-37,17,3,-7,1,-3,-6,-37
25,-1,17,-18,3,14,9,9
-5,-20,-12,36,3,-12,3,-5
-1,-17,-1,2,6,7,0,76
0,4,2,28,6,6,0,-64
-15,4,-7,-12,-9,-14,-12,-8
10,22,16,-28,-7,-5,-5,1
-16,-40,-38,-30,-9,2,0,2
13,14,-12,-6,3,6,1,30
-40,-5,-12,12,-1,-5,-9,-21
-4,-5,19,-14,-5,2,-13,-22
-3,-36,-36,3,-1,-6,-2,-10
34,11,2,-28,-5,-3,5,39
-6,-13,15,-1,-4,-3,1,17
32,8,-16,22,3,6,-10,-7
-23,36,32,23,7,1,9,3
-28,-19,-4,-2,-7,-31,-9,-43
