18,70,26,-31,1,18,101,58
-47,-106,22,-16,7,-26,-54,-34
31,5,-21,-5,-33,-86,58,41
122,104,50,9,-6,26,78,65
-89,32,14,-23,3,116,-20,-40
-40,3,-7,-4,29,95,52,32
76,31,7,58,-7,-48,-99,5
98,19,-7,14,36,100,60,44
91,31,-22,-48,-9,26,-5,73
-82,-49,45,127,31,-30,28,-46
-15,-102,-128,-53,-40,-24,-89,-29
69,56,92,-44,8,-42,47,54
-7,-14,42,31,-4,10,-94,-17
-55,48,53,8,-15,4,44,-27
4,-16,3,-86,-8,47,-7,11
-37,-40,-96,-6,-19,-114,-128,-54
29,20,36,-1,-4,-49,-128,-51
110,0,-56,-46,-20,-63,-54,17
-3,29,32,27,18,2,99,11
3,0,35,42,24,93,-17,-96
-83,-92,-56,-49,-5,-19,32,-3
-8,37,-11,13,-11,-32,-104,-10
-48,-58,-44,-36,-27,63,127,-16
14,11,-18,-19,-22,-33,-59,42
-75,-52,-19,53,6,13,-4,-31
-9,-18,6,-12,4,33,-34,-36
-50,28,36,12,4,54,-49,-31
34,-26,-40,-4,-8,-72,-82,-57
-52,-4,-7,-22,-29,-46,61,-35
121,15,-11,-13,11,19,46,105
-32,34,10,-18,1,6,-68,-30
-83,16,-3,32,5,19,-96,-26
8,23,0,10,13,-33,41,10
-46,-31,28,-2,0,81,-1,-11
-12,18,-1,-9,-8,-53,74,42
-59,-12,7,22,10,16,-28,-20
46,22,16,-9,0,-10,23,53
21,-32,-32,2,-11,4,95,17
-45,-58,-27,-55,0,29,-128,-55
60,76,99,36,35,-6,127,99
57,-117,-65,3,-18,-33,-38,-5
32,13,18,-15,17,-78,-90,-28
60,100,31,12,11,9,97,-7
-63,-66,-16,-6,-11,7,-93,-63
2,11,-20,-18,0,44,25,-8
74,2,-14,16,4,-15,-14,47
64,11,0,-13,-18,-50,45,-41
72,-21,26,39,24,34,104,62
-13,-7,-28,-27,-37,-13,-53,-48
84,24,-23,-17,-11,21,14,20
-73,-7,-45,-22,-4,22,-40,3
56,89,46,39,27,28,4,2
-46,-57,-25,-47,-8,-15,-33,14
12,-8,-15,16,-4,-39,43,43
-33,3,-33,-8,1,-33,-38,51
-36,-26,25,-46,-19,-21,-25,-31
6,21,20,28,29,89,72,18
-84,-62,-6,-10,-4,0,-85,-60
111,121,74,59,22,44,101,89
-98,-106,-80,-71,-49,-62,-95,-80
39,43,0,2,-19,-27,2,-23
32,-45,22,28,15,3,69,14
-38,-4,1,-2,9,-67,-29,-12
-53,-52,-43,-2,-19,-39,16,-63
2,48,54,-37,0,28,-16,-47
48,-20,-36,39,10,30,6,6
34,2,-1,-24,-5,-75,9,36
-24,37,24,57,21,67,114,79
27,8,-15,-28,-15,-37,-79,-39
15,50,5,-3,1,38,-56,11
-40,-76,5,-3,6,56,27,-16
8,66,-1,-19,-7,0,-15,6
2,-31,-22,22,10,14,-11,12
-104,-22,13,-33,-19,-67,2,-69
40,-37,-1,11,-17,-4,-32,24
3,25,-10,-17,-6,15,6,-11
68,8,-10,15,26,-9,-18,16
-58,41,-22,-25,-38,-39,-24,-13
-25,18,-3,58,18,1,46,-1
92,-4,63,48,30,17,20,33
-11,-7,-25,-35,-27,-82,-13,-33
50,24,-26,-11,17,43,-1,30
104,8,23,6,-15,-7,-29,40
58,10,-33,-14,-6,-7,4,19
5,5,48,112,38,11,-52,16
26,61,-2,-4,8,37,126,83
37,-31,29,-47,-9,71,-57,0
-9,-1,-25,25,3,-44,34,-6
-32,51,41,-12,9,38,47,69
-50,-33,-4,-15,-10,-28,-16,-19
-34,-23,-34,-6,11,0,-13,-38
82,10,-3,-37,-14,24,-28,47
12,22,19,20,2,-24,-2,0
28,-24,-34,-7,0,62,53,-25
71,-11,-10,-38,-12,-31,-8,6
14,9,26,30,23,84,-49,-33
-59,-49,-34,-5,-8,-77,-92,-7
11,-18,-20,16,-25,11,17,4
-2,79,62,-7,-5,61,68,-13
-55,-9,3,4,2,-46,-53,-14
51,-8,-12,-28,-8,68,-78,7
18,-22,-40,11,8,-31,-11,15
1,-14,28,-58,-24,-28,69,20
55,8,6,52,15,38,3,11
-42,-11,4,-1,-5,64,101,-8
-14,-74,-9,-32,13,-76,-83,9
-35,17,-30,-8,-13,-57,-110,-25
-56,21,6,-2,-13,-24,-15,-16
26,36,3,-7,6,29,-19,-2
77,-17,-3,12,-3,-6,111,-25
-24,-15,-45,-21,11,5,-2,2
89,-12,58,28,5,-20,-7,34
-4,25,-7,-28,-13,-48,-5,-17
-34,42,47,4,9,31,-68,-19
4,-35,-37,56,12,3,-49,-30
38,-12,-9,-53,-17,-28,109,49
-28,-9,8,-1,7,27,28,12
27,-20,-42,1,-37,40,-95,-30
-75,-2,-10,-41,-12,20,47,-61
-30,32,-9,47,12,-28,-30,-10
19,-36,-2,18,4,50,11,-40
-96,4,32,11,20,28,84,1
-43,42,22,32,19,69,-10,-18
-2,-41,-63,-44,-35,-81,-74,-25
15,14,8,4,13,50,63,52
-3,34,15,6,-10,-40,-45,-15
34,-9,20,44,18,9,-8,29
-11,10,20,-14,27,56,-84,-9
-15,15,-10,-12,-20,-12,25,9
-19,-31,4,1,13,-28,1,13
11,-33,-19,3,-16,-50,-20,14
3,23,0,-14,-5,43,-20,-3
