0,39,31,8,4,1,-4,-6
-10,-7,11,-2,-17,-61,-13,-18
-29,-16,-3,0,4,29,-32,-12
9,16,-24,-15,-14,-82,13,-6
-12,-3,-6,3,5,126,19,17
-17,9,-10,-1,-1,-49,-3,6
-2,-1,0,-7,-6,4,9,-1
4,25,17,27,12,-5,-7,-3
19,-14,-4,-6,-10,-74,-12,10
3,10,-38,-10,-8,49,-13,-17
16,-8,14,-60,-1,-9,9,20
-42,-38,3,16,3,17,-15,-25
34,49,9,6,5,7,18,6
-27,-38,-4,3,-7,-36,-22,-8
-27,-12,-54,-23,-27,-49,-28,-30
9,-20,17,5,-1,38,5,16
3,25,33,-4,12,25,-1,-8
-22,-51,-9,-7,-10,-29,-4,1
55,48,9,24,12,5,3,-8
-16,-14,-31,-36,-12,14,-2,16
-4,-5,4,29,3,9,-10,-12
25,4,18,8,8,13,22,23
-11,-28,12,20,3,-33,-2,0
-4,40,-7,-10,-4,15,-8,-11
-5,-20,-21,-17,-7,11,2,-6
2,7,-8,3,14,34,37,13
-9,-9,14,12,-5,-23,-10,0
30,12,1,-10,-7,-14,-20,-3
-16,-12,-22,-6,-1,7,-3,-2
-6,28,27,3,-5,-39,-24,-14
4,17,4,12,9,25,13,14
-3,-26,-14,-11,-5,7,12,-15
-3,-12,-20,-5,-3,20,11,7
42,15,-17,-32,-23,-75,-16,6
-53,0,30,14,5,95,-20,-27
-23,0,19,27,30,49,43,12
25,-8,-14,-9,-12,-28,-15,1
-37,4,7,4,1,17,1,-7
13,17,-17,-1,-5,-55,0,-3
-7,-5,-12,-19,-11,-43,-27,-13
9,-24,11,16,6,36,4,8
29,20,4,2,2,-4,13,12
6,24,13,3,-9,-44,-20,-3
4,-14,-11,-26,0,43,14,0
-43,-17,-1,-3,2,-27,-1,-14
-16,-36,-2,2,-1,-10,-28,-19
41,10,-28,-9,-4,34,3,8
-8,9,-8,-7,-15,-32,-17,3
28,20,10,-4,2,15,6,-2
-46,-17,5,9,6,-4,11,3
50,-38,-18,-5,-7,1,7,8
